,,I80239  ,Phlebitis and thrombophlebitis of unspecified tibial vein,,,,,
,,I80291  ,Phlebitis and thrombophlebitis of other deep vessels of right lower extremity,,,,,
,,I80292  ,Phlebitis and thrombophlebitis of other deep vessels of left lower extremity,,,,,
,,I80293  ,"Phlebitis and thrombophlebitis of other deep vessels of lower extremity, bilateral",,,,,
,,I80299  ,Phlebitis and thrombophlebitis of other deep vessels of unspecified lower extremity,,,,,
,,I82401  ,Acute embolism and thrombosis of unspecified deep veins of right lower extremity,,,,,
,,I82402  ,Acute embolism and thrombosis of unspecified deep veins of left lower extremity,,,,,
,,I82403  ,"Acute embolism and thrombosis of unspecified deep veins of lower extremity, bilateral",,,,,
,,I82409  ,Acute embolism and thrombosis of unspecified deep veins of unspecified lower extremity,,,,,
,,I82411  ,Acute embolism and thrombosis of right femoral vein,,,,,
,,I82412  ,Acute embolism and thrombosis of left femoral vein,,,,,
,,I82413  ,"Acute embolism and thrombosis of femoral vein, bilateral",,,,,
,,I82419  ,Acute embolism and thrombosis of unspecified femoral vein,,,,,
,,I82421  ,Acute embolism and thrombosis of right iliac vein,,,,,
,,I82422  ,Acute embolism and thrombosis of left iliac vein,,,,,
,,I82423  ,"Acute embolism and thrombosis of iliac vein, bilateral",,,,,
,,I82429  ,Acute embolism and thrombosis of unspecified iliac vein,,,,,
,,I82431  ,Acute embolism and thrombosis of right popliteal vein,,,,,
,,I82432  ,Acute embolism and thrombosis of left popliteal vein,,,,,
,,I82433  ,"Acute embolism and thrombosis of popliteal vein, bilateral",,,,,
,,I82439  ,Acute embolism and thrombosis of unspecified popliteal vein,,,,,
,,I82441  ,Acute embolism and thrombosis of right tibial vein,,,,,
,,I82442  ,Acute embolism and thrombosis of left tibial vein,,,,,
,,I82443  ,"Acute embolism and thrombosis of tibial vein, bilateral",,,,,
,,I82449  ,Acute embolism and thrombosis of unspecified tibial vein,,,,,
,,I82491  ,Acute embolism and thrombosis of other specified deep vein of right lower extremity,,,,,
,,I82492  ,Acute embolism and thrombosis of other specified deep vein of left lower extremity,,,,,
,,I82493  ,"Acute embolism and thrombosis of other specified deep vein of lower extremity, bilateral",,,,,
,,I82499  ,Acute embolism and thrombosis of other specified deep vein of unspecified lower extremity,,,,,
,,I824Y1  ,Acute embolism and thrombosis of unspecified deep veins of right proximal lower extremity,,,,,
,,I824Y2  ,Acute embolism and thrombosis of unspecified deep veins of left proximal lower extremity,,,,,
,,I824Y3  ,"Acute embolism and thrombosis of unspecified deep veins of proximal lower extremity, bilateral",,,,,
,,I824Y9  ,Acute embolism and thrombosis of unspecified deep veins of unspecified proximal lower extremity,,,,,
,,I824Z1  ,Acute embolism and thrombosis of unspecified deep veins of right distal lower extremity,,,,,
,,I824Z2  ,Acute embolism and thrombosis of unspecified deep veins of left distal lower extremity,,,,,
,,I824Z3  ,"Acute embolism and thrombosis of unspecified deep veins of distal lower extremity, bilateral",,,,,
,,I824Z9  ,Acute embolism and thrombosis of unspecified deep veins of unspecified distal lower extremity,,,,,
,,,,,,,,
Note: New guidelines.,,,,,,,,
Note: Codes that are no longer valid may be retained for compatibility with historical data. These codes will have no impact on numerator counts in more recent data using only currently valid codes.,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
